SNR = 0 ; BER = 0.28475 
SNR = 1 ; BER = 0.26051 
SNR = 2 ; BER = 0.23618 
SNR = 3 ; BER = 0.21057 
SNR = 3 ; BER = 0.21057 
SNR = 4 ; BER = 0.18563 
SNR = 6 ; BER = 0.13919 
SNR = 8 ; BER = 0.0965 
SNR = 10 ; BER = 0.05785 
SNR = 12 ; BER = 0.0281 
SNR = 14 ; BER = 0.00929 
SNR = 16 ; BER = 0.00182 
SNR = 18 ; BER = 0.000132075 
SNR = 20 ; BER = 3.71747e-06 
SNR = 5 ; BER = 0.16228 
SNR = 10 ; BER = 0.05785 
SNR = 15 ; BER = 0.0045 
SNR = 19 ; BER = 3.47826e-05 
